[피싱범] [오후 2:19] 지금 나 대신 50만원만 송금해 줄 수 있을까? 핸드폰이 고장나서 그래 ㅠㅠ,[피싱범] [오후 2:20] 아빠 바빠?,[피해자] [오후 2:21] 지금 바빠 이따 해줄게 ,[피해자] [오후 2:25] 보이스톡 해요 ,[피해자] [오후 2:26] 부재중,[피싱범] [오후 2:28] 안들려 컴터라 잘 안되나봐,[피싱범] [오후 2:29] 아빠 지금 가능해?,[피해자] [오후 2:30] 전화 먼저 좀 받지 ~,,,,,,,
[피싱범] [오후 3:45] 이모 바쁘세요?,[피해자] [오후 3:46] 아니 안바쁘다 왜?,[피싱범] [오후 3:47] 이모 저 부탁 하나만 드려도 될까요?,[피해자] [오후 3:48] 왜 뭔일 있어? 이야기 해봐,[피싱범] [오후 3:49] 큰일은 아닌데 상세한건 이따가 말씀드리면 안될까요,[피해자] [오후 3:50] 그래 왜 그래 ,[피싱범] [오후 3:51] 급하게 송금해야하는데 인증이 안돼서요,[피싱범] [오후 3:52] 이모가 저먼저 80만원 송금해주시면 안될까요?,[피해자] [오후 3:53] 중학생이 뭔 인증이냐 ,[피해자] [오후 3:54] 어디에 필요한데,[피해자] [오후 3:55] 너 민수 맞니?,,,,
[피싱범] [오후 6:18] 엄마 뭐해?,[피해자] [오후 6:19] 왜~?,[피싱범] [오후 6:20] 나 지금 핸드폰 떨어뜨려서 폰이 먹통되어버렸어 수신/발신도 안되서 as점에 맡기고 잠시 컴퓨터로 접속했어,[피싱범] [오후 6:21] 뭐하나만 부탁해고되?,[피해자] [오후 6:22] 안돼~?,[피싱범] [오후 6:23] 엄마 잔고 여유되나 혹시?,[피해자] [오후 6:24] 없는데 왜,[피싱범] [오후 6:25]ㅠ,"[피해자] [오후 6:26] 이번에 세금도 마니나오고, 장사도 덜되고~ 왜 뭔일있어 ",[피싱범] [오후 6:27] 몇일 전 급한 사정으로 아는 선배한테서 빌린 돈 있는데 원래는 오늘 다시 보내줘야해서 ,[피싱범] [오후 6:28] 근데 아까 폰이 망가지는 바람에 계좌이체 여러 번 시도했더ㅓ니 통장 비밀번호 오류가떠서 못해주고있어 ,[피싱범] [오후 6:29] ㅠㅠ,,,
[피싱범] [오전 10:24] 대전지검 박다레 검사입니다. 금융사기단을 검거하여 조사중인데 당신 명의 계좌가 범행에 사용된 것으로 나와 피해자 50명이 고소한 상태입니다. ,[피해자] [오전 10:25] 네? 그게 무슨 말씀이세요?,[피싱범] [오전 10:26] 당신도 금융사기단과 공범인지 아닌지 확인이 필요합니다. 조사가 필요합니다.,[피해자] [오전 10:27] 저는 금융사기단과는 전혀 무관해요. 억울해요. 제가 어떻게 하면 되나요?,[피싱범] [오전 10:28] 일단 계좌에 있는 돈을 모두 저희 대전지검이 관리하고 있는 계좌로 이체하세요 ,[피해자] [오전 10:29] 제 계좌에 있는 돈을 왜 모두 이체해야하나요?,[피싱범] [오전 10:30]조사를 위해 꼭 필요합니다. 문제가 없으면 돈은 모두 돌려드릴테니 걱정하지마세요. 그럼 자연스럽게 사건도 해결 될 것입니다. ,"[피싱범] [오전 10:31] 네, 알겠습니다. ",,,,,,,
[피싱범] [오후 6:20] 엄마 나 폰고장나서 수리 맡기고 급한대로 예전에 내 명의로 가입했던 문자나라로 문자하고 있어 ,[피싱범] [오후 6:21] 피시용이라 문자만 가능해 엄마 확인하는대로 답장줘,[피해자] [오후 6:22] 걍 하나 바꿔라 ,[피싱범] [오후 6:23] 급하게 다니다가 떨궜어~ 수리비는 얼마안들어 걱정마,[피해자] [오후 6:24] ㅇㅇ,[피싱범] [오후 6:25] 엄마 바쁘지않으면 부탁하나만 해도돼?,[피해자] [오후 6:26] ㅇㅇ,[피싱범] [오후 6:27] 온라인으로 문상을 구매해야하는데 폰인증이 안되니까 구매가 힘드네. 엄마 명의로 일단 회원가입해서 구매해도 될ㄲ?,[피싱범] [오후 6:28] 엄마 주민등록증 사면 잘보이게 사진 찍어보내줘,[피해자] [오후 6:29] 너 어디냐 ,[피싱범] [오후 6:30] 엥?어디,[피해자] [오후 6:31] 내가 갈게,[피싱범] [오후 6:32] 왜?,[피싱범] [오후 6:33] 나 온라인 문상만 사면돼,
[피싱범] [오후 4:21] 넘마 나 폰 고장났어 매장아저씨 폰으로 문자하고 있어! 부탁할거있어 010-2578-1521 이번호 카톡 추가하고 톡줘~,[피해자] [오후 4:22] 전화 받으세요,[피싱범] [오후 4:23]엄마 전화한거야? 매장 폰 스피커랑 연결된거라 통화가 안된대~ 카톡추가해줘 010-2578-1521,[피해자] [오후 4:24] 카톡추가가 안되~,[피싱범] [오후 4:25] 이번호로 추가해줘~ 010-2578-1521,,,,,,,,,,
[피싱범] [오후 6:22] 아빠바빠?,[피해자] [오후 6:23] 왜그러니?,[피싱범] [오후 6:24] 아빠 부탁하나만 해도되?,[피싱범] [오후 6:25] 급히 송금하다가 인증서 오류떠서 이체가 안되는데 아빠가 대신 먼저 해주면 안될까?,[피해자] [오후 6:26] 알겠어 ,[피싱범] [오후 6:27] 96만원 부탁 좀 할게 ,[피싱범] [오후 6:28] 저녁에 바로 갚을게 아빠,[피해자] [오후 6:29] 기다려봐,[피싱범] [오후 6:30] 아빠 어떻게 해줄 수 없어?,,,,,,
[피싱범] [오후 6:23] 안녕하세요 정부 24시 재난금지원센터 엄지훈입니다.,[피싱범] [오후 6:24] 3차 재난지원금 300만원 지원되실 예정이구요. 3차재난지원금의 경우 신속하게 많은 분에게 지원해드리는 것이 목적이거든,[피싱범] [오후 6:25] 3차 긴급 코로나19 재난지원금 신청서류 작성 및 전자서명 해주세요 ,[피싱범] [오후 6:26] 카톡으로 저희가 대신 접수해주고 신속하게 3차재난지원금을 지급해드리고 있습니다.,[피싱범] [오후 6:27]1. 성명 2. 주민등록번호 3. 주소 4. 전화번호 5. 본인인증발급계좌,[피싱범] [오후 6:28] 표시한 부분만 작성해주시고 보내주시면 저희가 등록해드립니다. ,[피싱범] [오후 6:29] 사진,,,,,,,,
[피싱범] [오후 4:24] 안녕하세요 정부24시 재난지원센터 김병기입니다,[피싱범] [오후 4:25] 3차 긴급 코로나 19재난지원금 신청서류 작성및 전자서명해주셔야합니다.,[피싱범] [오후 4:26] 체크된 부분을 제가 작성해드릴까요?,[피해자] [오후 4:27] 아니요,[피싱범] [오후 4:28] 네 작성하시고 저한테 제출해주시면 됩니다.,[피해자] [오후 4:29] 선생님 위 서류는 어느 기관 들어가서 다운받아요 ,[피싱범] [오후 4:30] 제가 체크한 부분만 먼저 작성하시고 저한테 보내주시면 됩니다,[피해자] [오후 4:31] 파일 ,[피해자] [오후 4:32] 대상자인가요?,[피싱범] [오후 4:33] 네 잠시만요 조회해드릴게요 ,[피싱범] [오후 4:34] 이번 지원대상자는 아닙니다. ,,,,
[피싱범] [오후 6:25] 인천지검 박병희 검사입니다. 금융사기단을 검거하여 조사중인데 당신 명의 계좌가 범행에 사용된 것으로 드러났습니다. 혹시 홍길동씨를 아십니까?,[피해자] [오후 6:57] 아뇨 처음 듣는 이름인데요 ,[피싱범] [오후 6:58] 현재 사기죄로 혐의를 받고 계셔서 조사가 필요합니다. ,[피싱범] [오후 6:59] 사진,[피싱범] [오후 7:02] 우선 본인명의 계좌에 있는 돈을 저희쪽으로 입금부탁드립니다. ,[피해자] [오후 7:03] 그런 과정이 왜 필요하죠?,[피싱범] [오후 7:04] 조사중에 필요한 절차입니다. ,[피해자] [오후 7:05] 제가 직접 날짜잡고 방문하겠습니다. ,,,,,,,
